Sun Dec 22 18:21:50 2019
Sample:	PolQ_Shield+CPT_P3
Control Sample:	PolQ_Reconstituted_Shield_P3
Library Control:	plDDCAS9
Alpha:	0.1
Upper Null Set Limit:	0.5742159967816755
Lower Null Set Limit:	-0.395823142660881

Gene	Log2	Original p-value	Corrected p-value	Reject Null Hypothesis
Ercc6	0.022134	0.383902	0.805366	False
Ercc8	-0.603575	0.332948	0.805366	False
Exo1	0.060844	0.814488	1.03016	False
Fam175a	0.439059	0.683115	0.977492	False
Fan1	-0.473823	0.113508	0.618251	False
Fanca	0.544204	0.270225	0.753651	False
Fancb	-0.34798	0.108131	0.618251	False
Fancc	-0.632062	0.017681	0.456577	False
Fancd2	-0.203093	0.360541	0.805366	False
Fance	0.007548	0.897696	1.063691	False
Fancf	-0.387902	0.087032	0.555526	False
Fancg	-0.150397	0.073156	0.555526	False
Fanci	-0.109633	0.948612	1.083745	False
Fancl	-0.043191	0.94739	1.083745	False
Fancm	-0.422422	0.050775	0.555526	False
Fbxo18	0.186462	0.721652	1.011211	False
Fen1	0.10744	0.575568	0.895511	False
Gadd45a	-0.066173	0.212617	0.739269	False
Gen1	0.124149	0.991641	1.083745	False
Gins1	-0.177439	0.525842	0.885261	False
Gnl3	-0.549128	0.227671	0.739269	False
Gtf2h1	-0.027006	0.700113	0.997587	False
Gtf2h2	0.351062	0.557947	0.885261	False
Gtf2h3	-0.291369	0.189464	0.739269	False
Gtf2h4	-0.098857	0.304742	0.78158	False
Gtf2h5	0.048399	0.979468	1.083745	False
H2afx	-0.099805	0.620423	0.939537	False
Hdac1	0.229674	0.846843	1.0473	False
Hdac2	0.011726	0.795267	1.023062	False
Hdac3	-0.534392	0.113315	0.618251	False
Hdac4	0.193599	0.62442	0.941369	False
Hdac5	0.145206	0.857105	1.052525	False
Helq	-0.22253	0.227671	0.739269	False
Hltf	0.025678	0.987127	1.083745	False
Hmgb1	-0.078343	0.794549	1.023062	False
Hus1	-0.422229	0.031891	0.538484	False
Inip	-0.028636	0.4691	0.826563	False
Ino80	-0.024122	0.861823	1.054485	False
Ino80c	0.125582	0.919385	1.079003	False
Kat2b	0.170381	0.653948	0.964359	False
Kat5	-0.253528	0.542573	0.885261	False
Kdm1a	0.063753	0.977699	1.083745	False
Kdm4a	0.014056	0.565186	0.885261	False
Kdm4b	0.187731	0.966143	1.083745	False
Kdm4c	-0.275223	0.541665	0.885261	False
Kmt2a	-0.080062	0.376118	0.805366	False
Lig1	-0.000674	0.879551	1.062063	False
Lig3	-0.01828	0.1922	0.739269	False
Lig4	-0.042128	0.557947	0.885261	False
Lmo4	0.003508	0.221531	0.739269	False
Mad2l2	0.227469	0.897696	1.063691	False
Mbd4	-0.293802	0.062774	0.555526	False
Mcm2	-0.491351	0.016386	0.456577	False
Mcm7	-0.472738	0.068166	0.555526	False
Mdc1	-0.197198	0.37696	0.805366	False
Med10	-0.17156	0.360541	0.805366	False
Mex3c	0.219257	0.396975	0.805366	False
Mgmt	0.343043	0.463125	0.826087	False
Mlh1	-0.015369	0.48707	0.843506	False
Mms19	-0.0376	0.396975	0.805366	False
Mnat1	0.030007	0.257461	0.753651	False
Morc4	-0.140032	0.29617	0.775324	False
Mouse	0.083455	1.0	1.085852	False
Mpg	0.079728	0.269813	0.753651	False
Mplkip	0.096252	0.578091	0.895511	False
Mre11a	-0.289328	0.22646	0.739269	False
Msh2	0.16202	0.275361	0.753651	False
Msh6	0.18809	0.89304	1.063691	False
Mtbp	-0.304062	0.24877	0.753651	False
Mtf2	-0.356312	0.365805	0.805366	False
Mus81	0.039435	0.805787	1.023062	False
Mutyh	0.174186	0.980215	1.083745	False
Nabp1	-0.188646	0.186245	0.739269	False
Nabp2	-0.070619	0.124271	0.666132	False
Nbn	-0.313655	0.196447	0.739269	False
Neil1	-0.18042	0.07052	0.555526	False
Neil2	-0.092778	0.481165	0.837574	False
Neil3	0.07137	0.827923	1.039366	False
Nek1	-0.32647	0.09921	0.598269	False
Nhej1	0.18661	0.720338	1.011211	False
Nrm	-0.013046	0.341962	0.805366	False
Nthl1	0.031434	0.266255	0.753651	False
Nudt1	-0.213854	0.165502	0.735397	False
Ogg1	-0.553716	0.266973	0.753651	False
Orc1	0.242055	0.360013	0.805366	False
Orc6	0.286378	0.955291	1.083745	False
PCNA	-0.229888	0.355447	0.805366	False
PMS1	0.531375	0.081848	0.555526	False
Pak3	0.204445	0.442656	0.826048	False
Palb2	-0.591041	0.057385	0.555526	False
Park2	0.025937	0.796607	1.023062	False
Parp1	-0.575201	0.09464	0.581091	False
Parp2	-0.278536	0.038363	0.555526	False
Parp3	-0.014785	0.774745	1.023062	False
Parp4	-0.02198	0.763153	1.023062	False
Paxip1	-0.147917	0.556242	0.885261	False
Pif1	0.096046	0.769337	1.023062	False
Plk1	0.409437	0.092535	0.578686	False
Pms2	0.365984	0.345404	0.805366	False
Pnkp	-0.515859	0.047178	0.555526	False
Polb	-0.346962	0.805132	1.023062	False
Pold1	0.002159	0.740335	1.016928	False
Pole	0.058097	0.981492	1.083745	False
Polg	0.387444	0.530769	0.885261	False
Polh	-0.32899	0.442656	0.826048	False
Poli	-0.125636	0.734296	1.016928	False
Polk	0.350202	0.028574	0.538484	False
Poll	0.066204	0.67586	0.977492	False
Polm	0.297071	0.25275	0.753651	False
Poln	0.195412	0.429736	0.826048	False
Polq	0.295381	0.156673	0.724774	False
Pot1a	-9.1e-05	0.680724	0.977492	False
Ppp1ca	0.240615	0.268426	0.753651	False
Ppp1cb	-0.003258	0.638072	0.950316	False
Ppp1cc	-0.245772	0.144549	0.706004	False
Prkdc	0.253126	0.958119	1.083745	False
Prmt1	0.647851	0.440449	0.826048	False
Prmt2	-0.516902	0.02996	0.538484	False
Prmt3	-0.014952	0.871032	1.061905	False
Prmt5	-0.466592	0.087032	0.555526	False
Prmt6	0.022718	0.989062	1.083745	False
Prokr1	-0.170158	0.213632	0.739269	False
Prpf19	-0.113896	0.443711	0.826048	False
Rad1	-0.461382	0.200442	0.739269	False
Rad9a	-0.611786	0.031705	0.538484	False
Rad9b	0.254491	0.562666	0.885261	False
Rad17	-0.084584	0.229859	0.739269	False
Rad18	-0.147829	0.286181	0.755027	False
Rad21	-0.365019	0.146685	0.706004	False
Rad23a	-0.428182	0.339964	0.805366	False
Rad23b	-0.081493	0.448488	0.826048	False
Rad50	0.515613	0.515562	0.882225	False
Rad51	-0.746416	0.00079	0.079227	True
Rad51ap1	-0.421675	0.148434	0.706004	False
Rad51b	-0.075634	0.325911	0.805366	False
Rad51c	-0.184961	0.839805	1.046502	False
Rad51d	-0.71643	0.04952	0.555526	False
Rad52	-0.211464	0.563529	0.885261	False
Rad54b	-0.356825	0.740571	1.016928	False
Rad54l	-0.107023	0.728107	1.016041	False
Rb1	-0.041762	0.227671	0.739269	False
Rbbp8	-0.036756	0.784169	1.023062	False
Rbx1	-0.151209	0.195496	0.739269	False
Rdm1	0.078424	0.519878	0.882225	False
Recql4	-0.045213	0.818372	1.03121	False
Recql5	-0.136622	0.598872	0.915109	False
Recql	0.348501	0.370877	0.805366	False
Rev1	0.089256	0.545161	0.885261	False
Rev3l	0.115163	0.436227	0.826048	False
Rexo2	-0.207141	0.087187	0.555526	False
Rfc1	0.095191	0.77625	1.023062	False
Rfc2	-0.091577	0.464781	0.826087	False
Rif1	0.144018	0.845557	1.0473	False
Rint1	-0.216358	0.229532	0.739269	False
Rmi1	0.059895	0.306771	0.78158	False
Rnaseh1	-0.142056	0.313194	0.783448	False
Rnaseh2a	0.471736	0.143147	0.706004	False
Rnf4	0.009547	0.67586	0.977492	False
Rnf168	-0.2654	0.060904	0.555526	False
Rpa1	-0.071037	0.744523	1.016928	False
Rpa2	-0.855106	0.004305	0.198381	False
Rrm1	0.211934	0.112127	0.618251	False
Rrm2	-0.640742	0.00369	0.198381	False
Rrm2b	-0.162292	0.175742	0.739269	False
Rtel1	0.381338	0.110536	0.618251	False
Ruvbl1	0.225993	0.617121	0.938746	False
Setmar	-0.057969	0.303267	0.78158	False
Setx	-0.11612	0.802614	1.023062	False
Sfr1	0.652012	0.75993	1.023062	False
Shfm1	-0.084742	0.453732	0.826048	False
Shprh	-0.128052	0.058626	0.555526	False
Sirt1	-0.291997	0.082325	0.555526	False
Sirt6	-0.259974	0.227671	0.739269	False
Slx1b	-0.141307	0.805847	1.023062	False
Slx4	0.134493	0.927288	1.083548	False
Smarcc2	-0.453194	0.054971	0.555526	False
Smc1a	-0.131621	0.362931	0.805366	False
Smc5	-0.125982	0.218515	0.739269	False
Smc6	-0.370864	0.219148	0.739269	False
Smg1	0.270451	0.456326	0.826048	False
Smug1	-0.282214	0.134346	0.697982	False
Snw1	0.428966	0.448488	0.826048	False
Spo11	-0.3584	0.003846	0.198381	False
Sprtn	-0.231058	0.086752	0.555526	False
Stag1	-0.130817	0.831012	1.03938	False
Sumo1	-0.347131	0.063847	0.555526	False
Sumo2	-0.112458	0.148121	0.706004	False
Suv39h1	0.485216	0.02028	0.456577	False
Suv39h2	0.04545	0.764588	1.023062	False
Suv420h2	0.413428	0.588535	0.907273	False
Swi5	-0.176786	0.544321	0.885261	False
Tcof1	0.122299	0.802868	1.023062	False
Tdg	-0.310171	0.278965	0.753651	False
Tdp1	-0.046699	0.557947	0.885261	False
Tdp2	0.199146	0.879596	1.062063	False
Tdrd1	-0.346036	0.360541	0.805366	False
Telo2	0.008558	0.55876	0.885261	False
Terf1	-0.518811	0.019296	0.456577	False
Terf2	-0.318414	0.284388	0.755027	False
Tert	-0.389786	0.086752	0.555526	False
Thoc1	0.382165	0.083349	0.555526	False
Ticrr	-0.227235	0.274018	0.753651	False
Tinf2	-0.205465	0.21617	0.739269	False
Tlk1	0.036477	0.892378	1.063691	False
Tnks2	-0.222195	0.211387	0.739269	False
Tnks	0.182575	0.978099	1.083745	False
Top1	0.503076	0.164404	0.735397	False
Top2a	-0.179451	0.185247	0.739269	False
Top2b	0.333806	0.403041	0.805366	False
Top3a	-0.130751	0.396975	0.805366	False
Top3b	-0.145202	0.341186	0.805366	False
Trex1	0.00259	0.383902	0.805366	False
Trex2	-0.187982	0.40172	0.805366	False
Trim28	-0.108705	0.24877	0.753651	False
Trp53	-0.123011	0.551377	0.885261	False
Trp53bp1	0.279989	0.1922	0.739269	False
Tudor1	0.51549	0.457421	0.826048	False
Uba2	-0.028629	0.638983	0.950316	False
Ube2a	-0.153654	0.330235	0.805366	False
Ube2b	0.422234	0.307969	0.78158	False
Ube2n	-0.097129	0.905238	1.068877	False
Ube2v2	-0.048974	0.414137	0.82267	False
Ubr5	-0.459778	0.138976	0.706004	False
Ung	-0.095184	0.186245	0.739269	False
Usp11	-1.274229	7e-06	0.002197	True
Uvssa	-0.007045	0.973465	1.083745	False
Wee1	-0.42419	0.237756	0.750376	False
Wrn	0.075325	0.970544	1.083745	False
Xab2	-0.079496	0.670126	0.977492	False
Xpa	-0.07492	0.469944	0.826563	False
Xrcc1	-0.594819	0.062685	0.555526	False
Xrcc2	-0.457783	0.000938	0.079227	True
Xrcc3	-0.456831	0.057408	0.555526	False
Xrcc4	0.185759	0.548056	0.885261	False
Xrcc5	0.089591	0.275361	0.753651	False
Xrcc6	0.461168	0.22646	0.739269	False
Zfp516	-0.059224	0.191036	0.739269	False
